type,attribute1,attribute2,attribute3,attribute4,attribute5,attribute6,attribute7,attribute8
Verchiel,Yellow green authority,Deep yellow long ear,Cyan red black rui cheng eye,Violet arc bangs wave hair,Brownness mouth,Violet long nose,Blue bar head,White two wing
Gabriel,White violet cat head band,Blue rabbit ear,Cyan orange black rui cheng eye,White short voume hair,Black heart shaped mouth,Cyan aquiline nose,Cyan saint sword,Golden wing
Hamaliel,Blue bar necklace,Cyan short ear,Deep black lifting eye,Golden long hair,Deep red round mouth,Deep blue long nose,Cyan cross,Violet wing
Gabriel,Cyan necklace,Light red deer ear ,Cyan orange black rui cheng eye,White waves hair,Small orange mouth,Deep red long nose,Golden saint sword,Violet wing
Ambiel,Violet black,Deep yellow long ear,Red black phonix eye,Golden waves hair,Violet mouth,Brownness round nose,Red clothing,White wing
Felicia,Cyan wing cloak,Brownness short ear,Green black long and thin eye,Brownness waves hair,Brownness mouth,Deep orange long nose,White butterfly pattern necklace,
Malahidiel,White green cat head band,Deep red elf ear,Dark red black phonix eye,Black short voume hair,Orange mouth,Cyan aquiline nose,Red dress cross necklace,White wing
Verchiel,Cyan pink earrings,Light black long ear,Yellow black lifting eye,White the points bang waves  hair,Black round mouth,Black pointed nose,Yellow ellipse truncheon,Cyan four winged
Hamaliel,Green earrings,Green deer ear,Dark red black phonix eye,Green long hair,Black mouth,Blue short nose,Red dress cross necklace,Golden four winged
Haniel,Cyan pink earrings,Green deer ear,Green  black willow eye,Cyan the vertical bun hair,Deep red round mouth,Orange aquiline nose,Blue shield,Golden four winged
Michael,White cyan authority,Light red  cat ear,Deep cyan black lifting eye,Brownness shoulder length hair,Red heart shaped mouth,Deep red round nose,Golden saint sword,Golden two wing
Barbiel,Violet butterfly head band,Light black rabbit ear,Cyan black long and thin eye,Cyan the curly hair,Black round mouth,Orange short nose,Cyan triangle necklace,Violet six wings
Asmodel,Light cyan bar necklace,Light black pentagon era,Yellow pink black perch blossom eye,Dark red points in the temples hair,Black heart shaped mouth,Orange aquiline nose,Golden preious stone necklace,Golden two wing
Haniel,Golden cloak,Orange deer ear,Deep red black willow eye,Brownness the curly hair,Violet oval mouth,Dark brownness round nose,Blue shield,White four winged
Manuel,White cyan authority,Brownnesself ear,Yellow orange black round eye,Golden shawls hair,Violet mouth,Dark brownness round nose,Red preious stone necklace,White wing
Asmodel,Blue cloak,Violet rabbit ear,Cyan red black rui cheng eye,Green  the vertical bun hair,Rectangle mouth,Deep blue long nose,Red dress cross necklace,Violet six wings
Haniel,Cyan black cat head band,Orange deer ear,Yellow gray black round eye,White the vertical bun hair,Light yellow oval mouth,Violet pointed nose,Cyan clothing,Cyan two wing
Verchiel,Blue wing cloak,Green elf ear,Cyan orange black rui cheng eye,Violet the curly hair,Pink mouth,Deep orange long nose,Blue bar head,Violet six wings
Felicia,Cyan pendant,Deep red deer ear,Yellow brownness black round eye,Violet shoulder length hair,Rectangle mouth,Deep orange aquiline nose,White trident,Cyan  six wings
Danae,Cyan crown,Blue rabbit ear,Cyan orange black perch blossom eye,Golden the curly hair,Light brownness round mouth,Blue aquiline nose,Blue butterfly pattern necklace,White four winged
Malahidiel,Violet  hair clasp,Brownness long ear,Cyan black long and thin eye,Dark red short voume hair,Deep red heart shaped mouth,Red long nose,White saint sword,White two wing
Malahidiel,Violet cloak,Blue rabbit ear,Yellow brownness black perch blossom eye,Cyan the vertical bun hair,Rectangle mouth,Dark brownness round nose,Cyan cross,
Zuriel,Violet butterfly head band,Light red short ear,Yellow golden black perch blossom eye,Green the curly hair,Light yellow oval mouth,Red pointed nose,Blue saint sword,White wing
Malahidiel,Blue black,Violet long ear,Cyan blue black rui cheng eye,Dark red the vertical bun hair,Small orange mouth,Light orange pointed nose,Blue clothing,White six wings
Hamaliel,Green butterfly head band,Deep yellow cat ear,Yellow orang lifting eye,Dark red the points bang waves  hair,Brownness mouth,Light brownness round nose,Golden shield,Cyan wing
Zuriel,Yellow earrings,Light black rabbit ear,White orange litchi eye,Black arc bangs wave hair,Black rectangle mouth,Deep red round nose,Golden ellipse truncheon,
Malahidiel,Cyan black cat head band,Green cat ear,Yellow brownness black perch blossom eye,Black waves hair,Yellow mouth,Orange aquiline nose,Red dress cross necklace,Cyan two wing
Felicia,Cyan crown,Deep red  bar type ear,Deep red lifting eye,Green  waves hair,Small orange mouth,Deep orange aquiline nose,Red saint sword,Cyan wing
Danae,Green pendant,Green short ear,Light golden black willow eye,Brownness points in the temples hair,Pink mouth,Cyan round nose,Cyan clothing,White wing
Manuel,Pink pendant,Orange long ear,Green black phonix eye,White braid hair,Black round mouth,Blue short nose,Blue saint sword,
Malahidiel,Cyan pink earrings,Brownness rabbit ear,Yellow orange litchi eye,White the vertical bun hair,Small orange mouth,Orange pointed nose,White ellipse truncheon,Golden two wing
Zuriel,Yellow pendant,Blue elf ear,Cyan gray black perch blossom eye,Black the points bang waves  hair,Brownness round mouth,Green pointed nose,Golden shield,
Verchiel,Golden yellow cat head band,Orange long ear,Cyan black litchi eye,Brownness braid hair,Orange heart shaped mouth,Light red  pointed nose,Yellow ellipse truncheon,Violet two wing
Asmodel,Blue cloak,Green pentagon era,Light orange litchi eye,Violet shoulder length hair,Black oval mouth,Blue long nose,Cyan violet ellipse truncheon,Golden six wings
Asmodel,Blue bar necklace,Light black elf ear,Light red black phonix eye,Violet the vertical bun hair,Light yellow oval mouth,Deep red round nose,Cyan clothing,Violet two wing
Adnachiel,Pink crown,Light red elf ear,Cyan black lifting eye,Golden points in the temples hair,Black heart shaped mouth,Violet short nose,Golden ellipse truncheon,White six wings
Michael,Yellow belt,Brownness pentagon era,Cyan gray black perch blossom eye,Brownness the vertical bun hair,Violet round mouth,Cyan short nose,Cyan yellow ellipse truncheon,Golden six wings
Asmodel,Pink green earrings,Orange bar type ear,Yellow cyan  black perch blossom eye,Dark red short voume hair,Deep red round mouth,Light red  pointed nose,Blue saint sword,
Hamaliel,Golden crown,Violet short ear,Yellow gray black round eye,Black the points bang waves  hair,Orange heart shaped mouth,Blue long nose,Cyan ellipse truncheon,
Zuriel,Violet wing cloak,Cyan long ear,White orange litchi eye,Golden side swept fringe waves  hair,Black rectangle mouth,Deep blue aquiline nose,Violet ellipse truncheon,White six wings
Felicia,Cyan pendant,Light black rabbit ear,Cyan orange litchi eye,Dark red the points bang waves  hair,Violet oval mouth,Blue aquiline nose,Cyan spear,Cyan wing
Hamaliel,Green necklace,Green  bar type ear,Cyan brownness black rui cheng eye,Cyan braid hair,Orange mouth,Brownness round nose,White shield,Cyan wing
Gabriel,Yellow cyan earrings,Violet pentagon era,Cyan black lifting eye,Brownness points in the temples hair,Light brownness round mouth,Deep blue short nose,Cyan violet ellipse truncheon,Golden wing
Danae,Yellow pendant,Light red short ear,Cyan black long and thin eye,Black arc bangs wave hair,Yellow mouth,Blue round nose,Cyan yellow ellipse truncheon,Golden two wing
Verchiel,Yellow green authority,Deep yellow long ear,Cyan black lifting eye,Violet long hair,Violet mouth,Deep orange long nose,White butterfly pattern necklace,Black  six wings
Haniel,Cyan black cat head band,Deep red short ear,Yellow blue black round eye,Green side swept fringe waves  hair,Orange mouth,Deep orange long nose,Cyan ellipse truncheon,Violet wing
Malahidiel,Cyan bar necklace,Orange pentagon era,Yellow violet black round eye,Green side swept fringe waves  hair,Deep red rectangle mouth,Deep orange pointed nose,Cyan spear,Golden four winged
Asmodel,Golden butterfly head band,Brownness long ear,Light yellow orange black round eye,Green shoulder length hair,Orange mouth,Blue pointed nose,Cyan shield,Violet wing
Hamaliel,Yellow black,Deep red rabbit ear,Deep cyan black lifting eye,Green shoulder length hair,Black round mouth,Blue pointed nose,Cyan trident,Golden six wings
Ambiel,White cyan authority,Orange short ear,Deep cyan black lifting eye,Brownness points in the temples hair,Black round mouth,Red pointed nose,Blue saint sword,Cyan wing
Barbiel,Cyan pink earrings,Light red pentagon era,Cyan black phonix eye,Black points in the temples hair,Violet mouth,Cyan round nose,Golden butterfly pattern necklace,Cyan two wing
Hamaliel,Yellow earrings,Blue  bar type ear,Pink black phonix eye,Brownness short voume hair,Light brownness round mouth,Violet long nose,White semicircle truncheon,
Verchiel,White green authority,Violet short ear,Green  black willow eye,Brownness the curly hair,Red heart shaped mouth,Black long nose,Cyan saint sword,Cyan wing
Malahidiel,Golden yellow cat head band,Deep red cat ear,Cyan violet black perch blossom eye,Green braid hair,Black round mouth,Deep orange long nose,Blue cross,Cyan four winged
Danae,Yellow pendant,Deep yellow elf ear,Yellow cyan  black perch blossom eye,White long hair,Red heart shaped mouth,Blue long nose,Blue saint sword,
Manuel,Yellow belt,Orange rabbit ear,Cyan black lifting eye,Brownness waves hair,Yellow mouth,Deep orange short nose,White dress cross necklace,White six wings
Barbiel,Red helmet,Orange elf ear,Cyan brownness black rui cheng eye,Brownness the points bang waves  hair,Yellow mouth,Blue pointed nose,White dress cross necklace,White six wings
Cassiel,Green round earring,Light black long ear,Deep brownness black round eye,Violet the vertical bun hair,Orange mouth,Black round nose,Golden preious stone necklace,
Adnachiel,Yellow pendant,Blue rabbit ear,Light orange litchi eye,Green side swept fringe waves  hair,Yellow mouth,Deep orange short nose,White butterfly pattern necklace,Cyan four winged
Felicia,Yellow earrings,Blue rabbit ear,Yellow pink black perch blossom eye,Golden the curly hair,Orange oval mouth,Deep red short nose,Golden trident,Violet wing
Cassiel,Blue belt,Blue deer ear,Yellow green black perch blossom eye,Black long hair,Orange round mouth,Black round nose,Cyan yellow ellipse truncheon,
Danae,Cyan crown,Light black triangle ear,Bright red black phonix eye,Golden shoulder length hair,Orange mouth,Blue short nose,Blue dress cross necklace,Black  six wings
Ambiel,Cyan black cat head band,Deep yellow cat ear,White orange litchi eye,Black waves hair,Orange mouth,Green pointed nose,Golden semicircle truncheon,Golden two wing
Adnachiel,Cyan black earring,Violet elf ear,Yellow golden black perch blossom eye,Violet side swept fringe waves  hair,Violet mouth,Deep orange pointed nose,White triangle necklace,Violet six wings
Malahidiel,Cyan bar necklace,Light black deer ear,Yellow brownness black round eye,White arc bangs wave hair,Orange heart shaped mouth,Cyan aquiline nose,Blue saint sword,Cyan four winged
Gabriel,Blue black earring,Blue pentagon era,Yellow pink black perch blossom eye,Black the vertical bun hair,Deep red oval mouth,Violet aquiline nose,White saint sword,White wing
Danae,Yellow necklace,Cyan cat ear,Dark red black phonix eye,Cyan short voume hair,Black mouth,Light red round nose,Red clothing,
Haniel,Cyan pink earrings,Orange bar type ear,Deep black lifting eye,Violet side swept fringe waves  hair,Brownness mouth,Blue aquiline nose,Red trident,Golden two wing
Haniel,Light cyan hair clasp,Green pentagon era,Dark red black phonix eye,Black the points bang waves  hair,Violet mouth,Violet pointed nose,White ellipse truncheon,
Adnachiel,Green black earring,Deep red elf ear,Orange black phonix eye,Cyan shoulder length hair,Light brownness round mouth,Green pointed nose,Violet semicircle truncheon,Cyan two wing
Verchiel,Cyan pink earrings,Light black short ear,Yellow brownness black round eye,Violet points in the temples hair,Orange mouth,Pink long nose,Deep cyan ellipse truncheon,Golden four winged
Hamaliel,Blue bar necklace,Cyan  bar type ear,White orange litchi eye,Violet waves hair,Red heart shaped mouth,Pink short nose,Deep cyan ellipse truncheon,Violet wing
Asmodel,Cyan bar necklace,Blue triangle ear,Brownness black willow eye,Dark red short voume hair,Orange round mouth,Violet short nose,Golden clothing,Black  six wings
Barbiel,Violet  hair clasp,Light red  bar type ear,Deep black lifting eye,Cyan side swept fringe waves  hair,Deep red rectangle mouth,Deep blue long nose,Yellow ellipse truncheon,Cyan  six wings
Manuel,White cyan authority,Brownness triangle ear,Light yellow black willow eye,White long hair,Pink mouth,Orange short nose,Blue saint sword,Violet four winged
Haniel,Violet butterfly head band,Blue rabbit ear,Green  black willow eye,Brownness the curly hair,Violet mouth,Orange aquiline nose,Cyan preious stone necklace,Golden two wing
Felicia,Red helmet,Violet short ear,Yellow brownness black round eye,Black points in the temples hair,Deep red oval mouth,Light brownness round nose,Violet ellipse truncheon,Violet two wing
Zuriel,Green black,Deep red rabbit ear,Cyan yellow black perch blossom eye,Black the vertical bun hair,Black mouth,Orange aquiline nose,Red dress cross necklace,
Michael,Yellow black,Light black elf ear,White orange litchi eye,White arc bangs wave hair,Light yellow oval mouth,Red round nose,Golden ellipse truncheon,Cyan  six wings
Danae,Yellow blue cat head band,Cyan rabbit ear,Yellow orang lifting eye,Cyan the points bang waves  hair,Orange oval mouth,Red long nose,Golden clothing,White four winged
Ambiel,Blue necklace,Green short ear,Violet black willow eye,Cyan the vertical bun hair,Violet round mouth,Violet aquiline nose,Cyan yellow ellipse truncheon,Violet four winged
Gabriel,Blue bar necklace,Cyan elf ear,Cyan black long and thin eye,Black the curly hair,Deep red oval mouth,Green pointed nose,White triangle necklace,
Gabriel,Cyan front lace wig,Light black short ear,Yellow golden black perch blossom eye,White shawls hair,Deep red mouth,Blue aquiline nose,Cyan triangle necklace,White six wings
Gabriel,Cyan blue earrings,Light red  cat ear,Bright red black phonix eye,Golden points in the temples hair,Black rectangle mouth,Violet aquiline nose,,Cyan four winged
Danae,Violet  hair clasp,Light black triangle ear,Blue black phonix eye,Green braid hair,Small orange mouth,Orange aquiline nose,Blue butterfly pattern necklace,White wing
Michael,White cyan authority,Green pentagon era,Gray black willow eye,Black arc bangs wave hair,Orange round mouth,Green pointed nose,Red bar head,White four winged
Zuriel,Golden hair clasp,Brownness rabbit ear,Light yellow orange black round eye,Black short voume hair,Deep red mouth,Deep orange pointed nose,Red trident,Violet four winged
Zuriel,Golden hair clasp,Brownness rabbit ear,Deep black litchi eye,Violet long hair,Rectangle mouth,Violet short nose,White triangle necklace,Golden four winged
Malahidiel,Violet cloak,Cyan pentagon era,Light yellow black willow eye,Violet waves hair,Violet mouth,Blue aquiline nose,Blue triangle necklace,Golden two wing
Felicia,Deep green earrings,Cyan elf ear,White orange litchi eye,Dark red the points bang waves  hair,Brownness round mouth,Deep orange aquiline nose,Blue spear,White four winged
Manuel,Green pendant,Violet short ear,Deep orange black phonix eye,Golden long hair,Light yellow oval mouth,Violet long nose,White saint sword,
Asmodel,Blue cloak,Green pentagon era,Light orange black phonix eye,Dark red side swept fringe waves  hair,Violet oval mouth,Light red  pointed nose,Cyan violet ellipse truncheon,Golden six wings
Michael,Cyan front lace wig,Blue elf ear,Cyan black willow eye,Brownness shawls hair,Violet oval mouth,Cyan long nose,Cyan white ellipse truncheon,Violet four winged
Hamaliel,Yellow black,Deep red long ear,Yellow green black round eye,Cyan the curly hair,Brownness round mouth,Red short nose,White semicircle truncheon,Violet wing
Gabriel,Blue bar necklace,Violet pentagon era,Yellow green black perch blossom eye,Golden arc bangs wave hair,Deep red oval mouth,Blue long nose,Golden semicircle truncheon,Golden wing
Asmodel,Golden butterfly head band,Orange elf ear,Green black phonix eye,Green shoulder length hair,Light yellow heart shaped mouth,Black long nose,Deep cyan ellipse truncheon,Cyan two wing
Manuel,Pink necklace,Orange pentagon era,White orange litchi eye ,Brownness the curly hair,Viole heart shaped mouth,Pink long nose,White shield,Violet six wings
Cassiel,yellow round earring,Cyan cat ear,Violet black willow eye,Golden short voume hair,Deep red mouth,Deep red aquiline nose,Blue saint sword,Black  six wings
Zuriel,Yellow earrings,Deep yellow elf ear,Yellow orange black round eye,White waves hair,Deep red heart shaped mouth,Deep orange pointed nose,Blue triangle necklace,
Felicia,Yellow earrings,Blue short ear,Light red black phonix eye,White short voume hair,Black oval mouth,Cyan aquiline nose,White semicircle truncheon,Violet four winged
Asmodel,Violet  hair clasp,Deep red long ear,Green black phonix eye,Black the curly hair,Rectangle mouth,Red pointed nose,Cyan clothing,Golden four winged
Asmodel,Blue hair clasp,Green deer ear,Dark red black phonix eye,White braid hair,Black oval mouth,Light red  pointed nose,Cyan preious stone necklace,White four winged
Asmodel,Blue bar necklace,Violet elf ear,Yellow golden black perch blossom eye,Green long hair,Pink mouth,Cyan short nose,Cyan ellipse truncheon,Violet six wings
Hamaliel,Cyan wing cloak,Violet long ear,Yellow brownness black round eye,White points in the temples hair,Brownness mouth,Deep red short nose,Golden bar head,
Cassiel,yellow round earring,Orange bar type ear,Cyan black litchi eye,Dark red shawls hair,Light yellow oval mouth,Deep orange long nose,Red bar head,Violet two wing
Michael,Yellow black,Deep yellow short ear,Cyan orange black rui cheng eye,Black arc bangs wave hair,Black mouth,Light orange round nose,White V necklace,Cyan wing
Manuel,Pink necklace,Cyan cat ear,Yellow green black round eye,Violet shoulder length hair,Black heart shaped mouth,Deep orange pointed nose,Yellow ellipse truncheon,White four winged
Felicia,Red helmet,Light black rabbit ear,Deep orange black phonix eye,Green  the vertical bun hair,Orange mouth,Deep blue long nose,White V necklace,Cyan four winged
Malahidiel,Cyan bar necklace,Light black rabbit ear,Yellow pink black perch blossom eye,Green the curly hair,Yellow mouth,Deep orange pointed nose,Cyan V necklace,Golden two wing
Gabriel,White violet cat head band,Light black pentagon era,Pink black phonix eye,Cyan the vertical bun hair,Deep red heart shaped mouth,Green round nose,Cyan butterfly pattern necklace,Golden four winged
Ambiel,Yellow blue cat head band,Cyan short ear,Gray black willow eye,Brownness braid hair,Red heart shaped mouth,Blue pointed nose,Violet ellipse truncheon,Golden two wing
Cassiel,Golden butterfly head band,Cyan short ear,Green black long and thin eye,Golden waves hair,Rectangle mouth,Blue long nose,Violet ellipse truncheon,
Haniel,Light cyan hair clasp,Green cat ear,Yellow black lifting eye,Golden shawls hair,Black round mouth,Cyan short nose,Cyan white ellipse truncheon,Cyan four winged
Danae,Violet wing cloak,Light black elf ear,Yellow gray black round eye,Green shoulder length hair,Rectangle mouth,Pink long nose,Cyan trident,Black  six wings
Manuel,Green yellow earrings,Violet rabbit ear,Yellow green black round eye,White short voume hair,Violet mouth,Black aquiline nose,Golden bar head,White two wing
Adnachiel,Pink crown,Brownness short ear,Bright red black phonix eye,Golden short voume hair,Black mouth,Dark brownness round nose,Yellow semicircle truncheon,Violet six wings
Adnachiel,Deep blue earrings,Green rabbit ear,Green black phonix eye,Cyan the points bang waves  hair,Orange round mouth,Orange aquiline nose,Violet semicircle truncheon,White six wings
Barbiel,Cyan  hair clasp,Cyan long ear,Cyan black lifting eye,Violet side swept fringe waves  hair,Red mouth,Blue round nose,Cyan spear,Violet wing
Verchiel,White green authority,Violet elf ear,Cyan golden black rui cheng eye,Green shawls hair,Deep red mouth,Black aquiline nose,Cyan clothing,Cyan four winged
Barbiel,Cyan crown,Brownness cat ear,Yellow blue black round eye,White arc bangs wave hair,Light yellow heart shaped mouth,Light orange round nose,Cyan cross,
Gabriel,Cyan front lace wig,Cyan  bar type ear,Deep yellow black lifting eye,Cyan the points bang waves  hair,Orange heart shaped mouth,Deep blue aquiline nose,Golden spear,Violet wing
Michael,Green necklace,Cyan triangle ear,Cyan black phonix eye,Green side swept fringe waves  hair,Yellow mouth,Blue long nose,Cyan dress cross necklace,White two wing
Asmodel,Light cyan bar necklace,Light black pentagon era,Yellow orang lifting eye,Violet long hair,Black mouth,Green pointed nose,Violet semicircle truncheon,Violet wing
Manuel,Yellow black,Light black  bar type ear,Yellow brownness black round eye,White the curly hair,Orange round mouth,Cyan long nose,Golden semicircle truncheon,White six wings
Michael,Green earrings,Light red long ear,Light yellow black willow eye,Golden braid hair,Brownness mouth,Light red round nose,Golden semicircle truncheon,Golden wing
Malahidiel,Cyan black cat head band,Blue triangle ear,Green black phonix eye,White side swept fringe waves  hair,Pink mouth,Deep orange long nose,White dress cross necklace,Golden six wings
Barbiel,Deep pink earrings,Light black cat ear,Yellow orang lifting eye,Dark red the curly hair,Brownness round mouth,Blue pointed nose,Cyan violet ellipse truncheon,
Hamaliel,Golden crown,Deep yellow long ear,Yellow gray black round eye,White long hair,Brownness mouth,Orange pointed nose,Red trident,Golden six wings
Manuel,Cyan black earring,Deep red pentagon era,Deep red lifting eye,Brownness side swept fringe waves  hair,Deep red heart shaped mouth,Red long nose,Golden clothing,Golden wing
Barbiel,Red long stick,Deep yellow cat ear,Yellow red black round eye,Golden shoulder length hair,Orange heart shaped mouth,Violet short nose,Red spear,Golden two wing
Felicia,Blue long stick,Orange elf ear,Pink black phonix eye,Golden the points bang waves  hair,Pink mouth,Red long nose,Cyan ellipse truncheon,Golden two wing
Barbiel,Cyan  hair clasp,Cyan pentagon era,Green black phonix eye,Black braid hair,Rectangle mouth,Brownness round nose,Violet semicircle truncheon,White two wing
Adnachiel,Cyan black earring,Light red pentagon era,White orange litchi eye ,Dark red short voume hair,Brownness round mouth,Orange short nose,Yellow ellipse truncheon,White six wings
Ambiel,Yellow blue cat head band,Violet long ear,Yellow blue black round eye,Golden the points bang waves  hair,Black heart shaped mouth,Blue pointed nose,Yellow semicircle truncheon,Golden wing
Malahidiel,Cyan bar necklace,Green cat ear,Cyan yellow black perch blossom eye,Golden points in the temples hair,Deep red oval mouth,Red round nose,Blue triangle necklace,Black  six wings
Malahidiel,Cyan black cat head band,Brownness  bar type ear,Yellow gray black round eye,Cyan shawls hair,Red heart shaped mouth,Blue aquiline nose,Blue shield,
Verchiel,Violet bar necklace,Deep red short ear,Pink black phonix eye,Brownness shoulder length hair,Black round mouth,Red pointed nose,White butterfly pattern necklace,Cyan four winged
Michael,Yellow black,Orange pentagon era,Light red black lifting eye,Brownness waves hair,Deep red oval mouth,Violet long nose,Cyan dress cross necklace,
Asmodel,Pink green earrings,Deep red rabbit ear,White orange litchi eye,White shoulder length hair,Black round mouth,Cyan short nose,Cyan V necklace,Golden six wings
Manuel,Cyan black cat head band,Light black triangle ear,Green  black willow eye,Violet the points bang waves  hair,Black rectangle mouth,Pink aquiline nose,Blue butterfly pattern necklace,White six wings
Manuel,Blue hair clasp,Green deer ear,Yellow orange black perch blossom eye,Golden braid hair,Violet round mouth,Red aquiline nose,Cyan dress cross necklace,Golden wing
Malahidiel,Violet  hair clasp,Brownness long ear,Cyan golden black rui cheng eye,White braid hair,Orange oval mouth,Deep orange pointed nose,Cyan semicircle truncheon,
Zuriel,Golden hair clasp,Deep red pentagon era,Cyan black phonix eye,Green braid hair,Deep red round mouth,Brownness round nose,Yellow ellipse truncheon,Violet four winged
Hamaliel,Violet wing cloak,Light black  bar type ear,Cyan black phonix eye,Dark red waves hair,Black heart shaped mouth,Violet short nose,Yellow semicircle truncheon,Violet wing
Danae,Violet wing cloak,Deep yellow cat ear,Deep brownness black round eye,Cyan the points bang waves  hair,Black mouth,Blue aquiline nose,Violet ellipse truncheon,Violet four winged
Michael,Yellow belt,Violet elf ear,Pink black phonix eye,Brownness short voume hair,Brownness round mouth,Violet aquiline nose,Deep cyan ellipse truncheon,White four winged
Verchiel,Cyan pink earrings,Light red  bar type ear,Light yellow black willow eye,Brownness short voume hair,Red mouth,Red pointed nose,Red butterfly pattern necklace,Golden four winged
Verchiel,Green butterfly head band,Orange cat ear,Bright red black phonix eye,Brownness long hair,Small orange mouth,Red pointed nose,Cyan white ellipse truncheon,Golden two wing
Danae,Violet butterfly head band,Deep yellow long ear,Yellow pink black perch blossom eye,White arc bangs wave hair,Black mouth,Black round nose,Blue spear,White two wing
Hamaliel,Green earrings,Deep red rabbit ear,Light red black lifting eye,Golden shawls hair,Brownness mouth,Deep orange aquiline nose,Yellow ellipse truncheon,Cyan  six wings
Cassiel,Red long stick,Green long ear,Green black phonix eye,Brownness side swept fringe waves  hair,Viole heart shaped mouth,Deep red short nose,Golden butterfly pattern necklace,
Gabriel,Blue black earring,Deep red cat ear,Cyan gray black perch blossom eye,White shawls hair,Red mouth,Blue long nose,Cyan trident,White six wings
Adnachiel,Green black earring,Deep red short ear,Green black phonix eye,Golden shawls hair,Light yellow heart shaped mouth,Blue long nose,Violet ellipse truncheon,
Michael,White cyan authority,Deep red deer ear,Deep cyan black lifting eye,Black waves hair,Black rectangle mouth,Red aquiline nose,Red cross,Cyan two wing
Ambiel,Violet black,Orange rabbit ear,Dark red black phonix eye,Violet the points bang waves  hair,Viole heart shaped mouth,Deep orange long nose,Blue dress cross necklace,Violet six wings
Verchiel,Violet black earring,Cyan elf ear,Cyan orange black rui cheng eye,Green arc bangs wave hair,Small orange mouth,Deep orange pointed nose,Cyan shield,
Zuriel,Violet butterfly head band,Blue  bar type ear,Deep brownness black round eye,Brownness points in the temples hair,Viole heart shaped mouth,Deep orange short nose,Red saint sword,Cyan wing
Haniel,Cyan black cat head band,Deep red short ear,Violet black willow eye,Green the points bang waves  hair,Brownness mouth,Deep orange aquiline nose,Golden V necklace,Cyan two wing
Barbiel,Deep pink earrings,Light black cat ear,Green black phonix eye,Violet braid hair,Deep red mouth,Green pointed nose,Golden spear,Golden wing
Ambiel,Blue crown,Light black  bar type ear,Deep yellow black lifting eye,Dark red points in the temples hair,Black rectangle mouth,Light orange pointed nose,Red saint sword,Violet wing
Verchiel,Violet butterfly head band,Light black long ear,Cyan brownness black perch blossom eye,Violet shawls hair,Brownness mouth,Dark brownness round nose,Cyan violet ellipse truncheon,Violet four winged
Hamaliel,Green butterfly head band,Deep red pentagon era,Yellow violet black round eye,Brownness waves hair,Violet oval mouth,Deep blue short nose,Blue clothing,
Verchiel,Cyan pink earrings,Blue cat ear,Cyan gray black perch blossom eye,Violet the vertical bun hair,Red heart shaped mouth,Orange round nose,Cyan preious stone necklace,Violet wing
Cassiel,Light cyan hair clasp,Orange long ear,Green black phonix eye,Dark red short voume hair,Deep red heart shaped mouth,Dark brownness round nose,Golden trident,Golden wing
Zuriel,Violet round earring,Deep yellow rabbit ear ,Yellow orange black round eye,Cyan the vertical bun hair,Deep red heart shaped mouth,Deep orange aquiline nose,White bar head,Golden four winged
Felicia,Yellow black earring,Deep yellow  bar type ear,Yellow red black perch blossom eye,Cyan the points bang waves  hair,Yellow mouth,Pink long nose,White V necklace,Golden wing
Manuel,Green yellow earrings,Light red elf ear,Yellow orange black perch blossom eye,Violet the points bang waves  hair,Orange heart shaped mouth,Brownness round nose,Cyan ellipse truncheon,
Gabriel,White cyan authority,Light black cat ear,Yellow red black round eye,Violet points in the temples hair,Orange heart shaped mouth,Green round nose,Violet ellipse truncheon,
Verchiel,White green authority,Violet short ear,Deep red black willow eye,Dark red waves hair,Light yellow heart shaped mouth,Black round nose,Golden clothing,
Danae,Violet butterfly head band,Cyan triangle ear,Cyan red black rui cheng eye,Green shawls hair,Red mouth,Orange round nose,Red spear,Golden four winged
Verchiel,Cyan crown,Brownness  bar type ear,Cyan brownness black perch blossom eye,Cyan the vertical bun hair,Viole heart shaped mouth,Red short nose,Cyan ellipse truncheon,Golden wing
Ambiel,Violet butterfly head band,Brownness long ear,Yellow blue black round eye,Brownness points in the temples hair,Black mouth,Orange short nose,Cyan butterfly pattern necklace,Cyan wing
Felicia,Yellow earrings,Brownness rabbit ear,Green black phonix eye,Brownness waves hair,Violet round mouth,Violet short nose,Red preious stone necklace,Violet wing
Asmodel,Blue hair clasp,Green pentagon era,Light red black phonix eye,White the vertical bun hair,Deep red heart shaped mouth,Violet long nose,Golden clothing,Violet four winged
Ambiel,White cyan authority,Orange short ear,Yellow gray black round eye,Cyan braid hair,Light yellow heart shaped mouth,Cyan long nose,Cyan clothing,Cyan  six wings
Hamaliel,Blue bar necklace,Cyan short ear,Light golden black willow eye,Cyan shawls hair,Black oval mouth,Orange aquiline nose,Golden trident,
Ambiel,Blue necklace,Light red  cat ear,Deep red lifting eye,Dark red arc bangs wave hair,Black rectangle mouth,Pink long nose,Cyan shield,Golden four winged
Adnachiel,Cyan long stick,Light black rabbit ear,Cyan yellow black perch blossom eye,Cyan braid hair,Black heart shaped mouth,Light red  pointed nose,White triangle necklace,Cyan two wing
Asmodel,Golden butterfly head band,Brownness long ear,Light yellow orange black round eye,Dark red points in the temples hair,Black rectangle mouth,Red short nose,Golden ellipse truncheon,Violet six wings
