type,       attribute1,   attribute2,"	attribute3","	attribute4","	attribute5"
Swan,Deep blue mesh cap,Black eye&yellow eyebrow,Pink broken,Orange small Mouth,Orange yellow wing
Swan,Orange square glasses,Orange eye& eyCambridge blue eyebrow,Cyan punk,Orange triangle small Mouth,Violet rhomboid wing
Seagull,Brow hat,Big black eye&long eyebrow,Black broken,Orange long Mouth,Dark Colours wing
Bullfinch,Orange black square Hat,Cyan black eye&long eyebrow,Pink broken,Blue triangle  Mouth,Red trapeziod wing 
Blue Bird,Blue triangle Hat,Black eye&long eyebrow,Cyan Curly,Pale red Mouth,Gray trapeziod wing 
Duck,Orange yellow square Hat,Small black eye&long eyebrow,Red yellow crown,Pale red Mouth,Blue tooth profine wing
Cuckoo,Red black pentagon glasses,Black eye&long black eyebrow,Light cyan shorthair,Orange triangle Mouth,Agree sector wing
Crow,Brow hat,Light cyan  eye&orange long eyebrow,Light cyan shorthair,Gray Mouth,Orange trapeziod wing 
Cuckoo,Black pink Hat,Cyan black eye&long eyebrow,Red Curly,Blue Naroon,Colours wing 
Penguin,Violet round glasses,Cambridge blue eye&pink eyebrow,Cyan short hair,Light orange Mouth,Red trapeziod wing 
Hummingbird,Yellow quadrangle Hat,Cambridge blue eye&pink eyebrow,Black broken,Black Mouth,Red wing
Hummingbird,Orange black polygon Hat,Black eye&long eyebrow,Red yellow crown,Black orange black Mouth,Agree sector wing
Pigeon,Violet red polygon Hat,Big black eye&orange eyebrow,Deep red Curly,Blue black Mouth,Violet front shape wing
Thrush,Black brow hat,Black whiteeye&round eyebrow,Pink short hair,Black pink Mouth,Colours sector wing
Chick,Dark blue gray polygon Hat,Black eye&round eyebrow,Pink short hair,Black yellow long Mouth,Dark red wing 
Aurora,Green Hat,Black red eye&A round eyebrow,Red yellow crown,Deep Gray triangle Mouth,Dark blue  wing 
Penguin,Dark orange necklace,Orange eye& eyCambridge blue eyebrow,Pink broken,Orange triangle Mouth,Colours tooth profine wing
Woodpecker,Orange square glasses,Blue eye&blue eyebrows,Red punk,Golden small Mouth,Yellow rhomboid wing
Cuckoo,Deep blue polygon Hat,Black eye&long black eyebrow,Deep red Curly,Golden quadrangle  Mouth,Violetv wing
Penguin,Black white square glasses,Big black eye&orange eyebrow,Yellow Curly,Orange short Mouth,Yellow trapeziod wing 
Vulture,Orange yellow round Hat,Black eye&deep orange eyebrow,Light cyan shorthair,Golden polygon Mouth,Blue front shape wing 
Seagull,Orange yellow Hat,Small black eye&orange  eyebrow,Yellow Curly,Black triangle small Mouth,Pink wing 
Crow,Dark blue rectangle glasses,Small black eye&long eyebrow,Red punk,Golden small Mouth,Orange triangle  wing
Bullfinch,Orange headset,Black white eye&long eyebrow,Orange hairdo,Black yellow Mouth,Dark blue cyan wing
Pelican,Green Hat,Black eye&round eyebrow,Black broken,Deep yellow triangle  Mouth,Yellow agree front shape wing 
Thrush,Black necklace,Small black eye&long eyebrow,Orange middle parting,Black pink Mouth,Agree rhomboid wing
Pigeon,Violet round glasses,Black eye&pink eyebrow,Orange hairdo,Deep Blue triangle Mouth,Violet front shape wing
Ostrich,Orange black round Hat,Black cyan eye&long eyebrow,Blue broken,Golden triangle Mouth,Colours front shape wing
Pelican,Orange yellow Hat,Black eye&orange eyebrow,Pink Curly,Blue triangle  Mouth,Yellow agree front shape wing 
Blue Bird,Black pink Hat,Small black eye&long eyebrow,Pink middle parting,Gray triangle Mouth,Iridescence wing
Pigeon,Dark blue rectangle glasses,Black eye&jet black eyebrow,Black broken,Black yellow Mouth,Red front shape wing 
Blue Bird,Black white Hat,Cyan eye&dark red eyebrow,Red short hair,Black orange long Mouth,Dark black wing 
Swallow,Yellow quadrangle Hat,Black eye&rectangle eyebrow,Pink Curly,Light orange Mouth,Agree wing
Seagull,Deep blue mesh cap,Light cyan  eye&orange long eyebrow,Black middle parting,Black Mouth,Yellow agree trapeziod wing
Penguin,Orange headset,Small black eye&orange round eyebrow,Pink middle parting,Golden polygon Mouth,Yellow tooth profine wing
Aurora,Deep orange black round hat,black orange eye&long eyebrow,Black short hair,Orange small Mouth,Orange yellow wing
Blue Bird,Deep yellow arch Hat,Black eye&long eyebrow,Pink short hair,Red triangle Mouth,Pink wing 
Swan,Violet black  Hat,Black eye&orange eyebrow,Cyan short hair,Depp red triangle Mouth,Black trapeziod wing  
Ostrich,Yellow quadrangle Hat,Red eye&black eyebrow,Light cyan shorthair,Get black triangle Mouth,Agree rhomboid wing
Seagull,Black blue orange round Hat,Pink black eye&long eyebrow,Orange hairdo,Light orange Mouth,Orange white sector wing
Seagull,Brow hat,Big black eye&long eyebrow,Blue short hair,Pale red Mouth,Red sector wing
Hummingbird,Orange black polygon Hat,Cambridge blue eye&black long eyebrow,Orange short hair,Deep Golden triangle Mouth,Red trapeziod wing 
Pigeon,Orange yellow Hat,Orange eye& eyCambridge blue eyebrow,Black long hair,Blue black Mouth,Yellow agree front shape wing 
Turkey,Black white Hat,Black eye&jet black eyebrow,Black long hair,Black bluw long Mouth,Red rhomboid wing
Magpie,Black white necklace,Jet black eye&long eyebrow,Pink long hair,Orange triangle big Mouth,Dark Colours wing
Blue Bird,Blue black triangle glasses,Black eye&jet black eyebrow,Above color crown,Pale red Mouth,Blue rhomboid wing
Duck,Orange yellow square Hat,Small black eye&orange  eyebrow,Pink short hair,Deep orange triangle  Mouth,Black rhomboid wing
Duck,White square glasses,White eye&black long eyebrow,Black red hair,Golden square Mouth,Dark cyan wing 
Pelican,Cyan pentagon glasses,White eye&Black eyebrow,Red hairdo,Blue triangle  Mouth,Violet tooth profine wing
Pigeon,Violet red polygon Hat,Black eye&Black eyebrow,Yellow Curly,Dark blue triangle Mouth,Yellow rhomboid wing
Aurora,Blue square glasses,Small black eye&black long eyebrow,Black long hair,Deep yellow triangle  Mouth,Agree wing
Turkey,Black white Hat,Black eye&pink eyebrow,Cyan punk,Deep Orange square Mouth,Agree trapeziod wing  
Swan,Deep gray  round Hat,Black eye&round black eyebrow,Black yellow hair,Shallow black triangle Mouth,Agree wing
Swallow,Deep blue mesh cap,Cyan eye&dark red eyebrow,Light cyan shorthair,Black pink Mouth, Dark violet front shape wing
Crow,Dark orange necklace,Cyan black eye&long eyebrow,Pink Curly,Black pink Mouth,Red front shape wing 
Ostrich,Yellow quadrangle Hat,Black purple eye&long eyebrow,Orange middle parting,Golden polygon Mouth,Dark cyan wing 
Crow,Deep blue polygon Hat,Black white eye&long eyebrow,Red short hair,Orange Mouth,Yellow agree trapeziod wing
Seagull,Red black round glasses,Black red eye&A round eyebrow,Golden airplane,Orange short Mouth,Orange white sector wing
Pelican,Blue trapezoid  Hat,Black eye&Black eyebrow,Black long hair,Black orange long Mouth,Violet front shape wing
Seagull,Black orange necklace,Black eye&Black eyebrow,Cyan Curly,Gray triangle Mouth,Cyan  tooth profine wing
Vulture,Red black pentagon glasses,Small black eye&red long eyebrow,Red short hair,Deep orange triangle  Mouth,Orange white sector wing
Bullfinch,Red black triangle glasses,Red eye&black eyebrow,Pink short hair,Orange polygon  Mouth,Violet front shape wing
Swan,Blue black triangle glasses,Black eye&long pink eyebrow,Orange middle parting,Deep Orange square Mouth,White gray wing
Vulture,Green Hat,Black eye&orange eyebrow,Above color crown,Black bluw long Mouth,Light cyan front shape wing
Aurora,Black pink Hat,Light cyan eye&orange eyebrow,Pink middle parting,Golden small Mouth,White gray wing
Turkey,Deep yellow arch Hat,Black eye&yellow eyebrow,Black yellow hair,Orange polygon  Mouth,Blue cyan wing
Woodpecker,Pink  trapezoid  Hat,Big black eye&black long eyebrow,Red short hair,Orange triangle Mouth,Colours tooth profine wing
Chick,Violet square glasses,Black whiteeye&round eyebrow,Light cyan hair,Gray Mouth,Pink  violet sector wing
Woodpecker,Somber triangle glasses,black orange eye&long eyebrow,Orange long hair,Golden polygon Mouth,Violet rhomboid wing
Aurora,Dark black round Hat,Big black eye&black long eyebrow,Orange hairdo,Dark blue triangle Mouth,Yellow agree trapeziod wing
Crow,Dark orange necklace,Black eye&yellow eyebrow,Blue Curly,Blue Naroon,Blue trapeziod wing 
Duck,Blue triangle Hat,Cyan black eye&long eyebrow,Cyan punk,Deep orange triangle  Mouth,Black trapeziod wing  
Blue Bird,Black white Hat,Orange eye& eyCambridge blue eyebrow,Red short hair,Orange polygon  Mouth,Yellow agree front shape wing 
Ostrich,Black triangle glasses,Small black eye&orange  eyebrow,Deep red Curly,Gray triangle Mouth,Yellow trapeziod wing 
Swan,Blue round glasses,Orange eye& eyCambridge blue eyebrow,Red short hair,Orange quadrangle Mouth,Gray rhomboid wing
Vulture,Orange black polygon Hat,Light cyan  eye&orange long eyebrow,Green braid,Black orange black Mouth,Agree trapeziod wing  
Hummingbird,Deep gray  round Hat,Black eye&Black eyebrow,Orange middle parting,Pale yellow triangle  Mouth,Cyan yellow sector wing
Turkey,Deep blue trapezoid Hat,Black whiteeye&round eyebrow,Cyan Curly,Golden triangle small Mouth,Blue rhomboid wing
Pigeon,Dark blue rectangle glasses,Light cyan eye&orange eyebrow,Orange middle parting,Black long Mouth,Orange white sector wing
Penguin,Dark orange necklace,Small black eye&orange round eyebrow,Orange hairdo,Black orange long Mouth,Dark blue  wing 
Blue Bird,Black white Hat,Big black eye&long eyebrow,Pink long hair,Golden quadrangle  Mouth,Orange trapeziod wing 
Pigeon,Black blue Hat,Cambridge blue eye&black long eyebrow,Blue punk,Golden triangle Mouth,Blue tooth profine wing
Ostrich,Orange yellow round glasses,Black whiteeye&round eyebrow,Red yellow crown,Black Mouth,Violetv wing
Swallow,Orange yellow round Hat,Small black eye&long eyebrow,Pink long hair,Light orange short Mouth,Yellow trapeziod wing 
Bullfinch,Dark black round Hat,Black eye&orange eyebrow,Light cyan shorthair,Red triangle small Mouth,Cyan yellow sector wing
Woodpecker,Black triangle glasses,Jet black eye&long eyebrow,Cyan Curly,Orange short Mouth,Red trapeziod wing 
Penguin,Violet round glasses,Black white eye&long eyebrow,Red airplane,Orange short Mouth,Violet front shape wing
Woodpecker,Somber triangle glasses,Light cyan eye&pink eyebrow,Black broken,Pale gold Palegreen,Yellow agree front shape wing 
Magpie,Dark black round Hat,Black white eye&long eyebrow,Red Curly,Deep Blue triangle Mouth,Khaki front shape wing
Cuckoo,Red black pentagon glasses,Light cyan eye&pink eyebrow,Red short hair,Deep Golden triangle Mouth,Dark Colours wing
Blue Bird,Black white square glasses,Black eye&orange long eyebrow,Light cyan shorthair,Orange small Mouth,Blue cyan wing
Pelican,Blue square glasses,Black purple eye&long eyebrow,Pink Curly,Deep orange triangle  Mouth,White black rhomboid wing
Crow,Dark orange necklace,Black eye&round black eyebrow,Blue long hair,Light orange short Mouth,Yellow tooth profine wing
Pigeon,Violet round glasses,Black eye&deep orange eyebrow,Cyan punk,Golden triangle small Mouth,Black trapeziod wing  
Duck,Violet round glasses,Black eye&jet black eyebrow,Cyan short hair,Orange triangle big Mouth,Light cyan front shape wing
Hummingbird,Dark blue gray polygon Hat,Small black eye&orange  eyebrow,Black middle parting,Black yellow Mouth,Colours tooth profine wing
Duck,Blue triangle Hat,Cyan black eye&long eyebrow,Black broken,Orange short Mouth,Yellow agree trapeziod wing
Woodpecker,Somber triangle glasses,Black eye&yellow eyebrow,Deep red Curly,Orange triangle small Mouth,Red front shape wing 
Woodpecker,Rainbow trapezoid  Hat,Cambridge blue eye&pink eyebrow,Yellow Curly,Deep Golden triangle Mouth,Orange triangle  wing
Ostrich,Black triangle glasses,Black eye&jet black eyebrow,Yellow Curly,Deep Golden triangle Mouth,Grey violet sector wing
Ostrich,Orange yellow round Hat,Big black eye&orange eyebrow,Blue punk,Orange short Mouth,Yellow trapeziod wing 
Crow,Green Hat,White eye&black long eyebrow,Pink broken,Orange quadrangle Mouth,Black rhomboid wing
Pigeon,Black necklace,Small black eye&long eyebrow,Red hairdo,Blue Naroon,Blue front shape wing 
Cuckoo,Black pink Hat,Black purple eye&long eyebrow,Golden airplane,Dark blue triangle Mouth,Violetv wing
Penguin,Pink headset,Black eye&orange long eyebrow,Green braid,Red short Mouth,Orange rhomboid wing
Cuckoo,Blue trapezoid  Hat,Black eye&round eyebrow,Blue punk,Deep Orange square Mouth,White black rhomboid wing
Vulture,Orange yellow round Hat,Black eye&long pink eyebrow,Black broken,Gray triangle Mouth,White black rhomboid wing
Swallow,Orange black polygon Hat,Black eye&long black eyebrow,Pink Curly,Deep Orange square Mouth,Colours front shape wing
Chick,Orange black square Hat,black orange eye&long eyebrow,Red airplane,Red triangle small Mouth,Orange white sector wing
Woodpecker,Black triangle glasses,Black whiteeye&round eyebrow,Black middle parting,Black Mouth,Cyan yellow sector wing
Swallow,Pink necklace,Small black eye&orange round eyebrow,Red Curly,Gray big Mouth,Blue cyan wing
Crow,Orange Violet square glasses,White eye&black long eyebrow,Red airplane,Pale red Mouth,Colours wing 
Aurora,Dark black round Hat,Blue eye&blue eyebrows,Blue long hair,Orange short Mouth,Red sector wing
Seagull,Black orange necklace,Black eye&long pink eyebrow,Blue hairdo,Deep Golden triangle Mouth,Colours front shape wing
Pelican,Blue trapezoid  Hat,Black eye&deep orange eyebrow,Blue hairdo,Light blue short Mouth,Violet tooth profine wing
Chick,Orange black white round Hat,black orange eye&long eyebrow,Pink broken,Golden Mouth,Blue cyan wing
Pigeon,Gray black Hat,Cyan eye&dark red eyebrow,Orange long hair,Black red long Mouth,Dark cyan wing 
Thrush,Red black quadrangle Hat,Big black eye&long eyebrow,Deep red Curly,Pale red Mouth,Dark blue  wing 
Magpie,Brow hat,Blue eye&blue eyebrows,Orange middle parting,Pale gold Palegreen,Dark Colours wing
Ostrich,Black triangle glasses,Black eye&jet black eyebrow,Blue Curly,Golden triangle Mouth,Black rhomboid wing
Thrush,Dark blue headset,Cambridge blue eye&black long eyebrow,Golden airplane,Black orange black Mouth,Dark cyan wing 
Pigeon,Orange black square Hat,Small black eye&orange round eyebrow,Pink long hair,Pale red Mouth,Iridescence wing
Thrush,Black white Hat,Black eye&pink eyebrow,Blue broken,Blue black Mouth,Blue trapeziod wing 
Hummingbird,Dark blue gray polygon Hat,Small black eye&orange round eyebrow,Black red hair,Black triangle small Mouth,Blue tooth profine wing
Woodpecker,Orange square glasses,Cyan black eye&long eyebrow,Plae yellow braid,Pale red Mouth,Orange trapeziod wing 
Pigeon,Orange black square Hat,Black eye&long pink eyebrow,Orange middle parting,Orange long Mouth,Yellow agree trapeziod wing
Aurora,Orange headset,Orange eye& eyCambridge blue eyebrow,Blue short hair,Deep Golden triangle Mouth,Grey violet sector wing
Aurora,Blue square glasses,Big black eye&black long eyebrow,Blue broken,Black red long Mouth,Orange white sector wing
Chick,Somber triangle glasses,Light cyan eye&orange eyebrow,Blue Curly,Black pink Mouth,Iridescence wing
Turkey,Blue trapezoid  Hat,Small black eye&red long eyebrow,Black middle parting,Red triangle Mouth,Colours sector wing
Thrush,Deep blue polygon Hat,Big black eye&black long eyebrow,Golden airplane,Orange triangle small Mouth,Dark black wing 
Cuckoo,Red black pentagon glasses,Black eye&yellow eyebrow,Yellow Curly,Black triangle small Mouth,White gray wing
Swallow,Deep blue mesh cap,Cyan eye&dark red eyebrow,Golden airplane,Gray triangle Mouth,Red rhomboid wing
Hummingbird,Orange black  Hat,Small black eye&orange  eyebrow,Cyan short hair,Orange long Mouth,Colours tooth profine wing
Hummingbird,Orange round glasses,Big black eye&black long eyebrow,Black red hair,Dark blue triangle Mouth,White sector wing
Bullfinch,Red black triangle glasses,Black cyan eye&long eyebrow,Yellow braid,Depp red triangle Mouth,Pink  violet sector wing
Magpie,Dark blue headset,Black eye&long pink eyebrow,Blue Curly,Deep yellow triangle  Mouth,Red wing
Swallow,Black Hat,Black cyan eye&long eyebrow,Orange long hair,Black pink Mouth,Orange yellow wing
Swan,Orange square glasses,Black red eye&A round eyebrow,Yellow braid,Orange polygon  Mouth,Agree wing
Woodpecker,Orange black  Hat,Black eye&Black eyebrow,Light cyan shorthair,Golden Mouth,Violetv wing
Ostrich,Dark black pentagon glasses,Black eye&round eyebrow,Red short hair,Black yellow long Mouth,Dark black wing 
Crow,Cambridge blue square glasses,Blue eye&blue eyebrows,Blue long hair,Orange square Mouth,Gray rhomboid wing
Swallow,Pink square glasses,Black eye&jet black eyebrow,Orange short hair,Orange small Mouth,Orange triangle  wing
Penguin,Dark orange necklace,Black eye&round black eyebrow,Blue broken,Black orange small Mouth,Red trapeziod wing 
Aurora,Blue trapezoid  Hat,Cambridge blue eye&pink eyebrow,Blue hairdo,Orange quadrangle Mouth,Red rhomboid wing
Magpie,Black white necklace,Small black eye&orange  eyebrow,Black red hair,Black orange small Mouth,Violet trapeziod wing 
Vulture,Black triangle glasses,Cyan eye&dark red eyebrow,Plae yellow braid,Light orange short Mouth,Agree rhomboid wing
Swan,Black cyan Hat,Black eye&long eyebrow,Red airplane,Orange triangle Mouth,Violet front shape wing
Pelican,Blue trapezoid  Hat,Big black eye&orange eyebrow,Light cyan hair,Blue Naroon,Pink wing 
Vulture,Green Hat,Big black eye&black long eyebrow,Cyan Curly,Orange square Mouth,Orange trapeziod wing 
Vulture,Black triangle glasses,Black eye&orange eyebrow,Cyan Curly,Gray triangle Mouth,Grey violet sector wing
Pelican,Pink square glasses,Small black eye&long eyebrow,Black broken,Blue Naroon,Agree trapeziod wing  
Blue Bird,Deep yellow arch Hat,Small black eye&long eyebrow,Black red hair,Golden polygon Mouth,Black rhomboid wing
Swan,Deep blue mesh cap,Pink black eye&long eyebrow,Blue punk,Light orange Mouth,Dark cyan wing 
Aurora,Blue square glasses,Cambridge blue eye&pink eyebrow,Pink Curly,Deep Orange square Mouth,Gray trapeziod wing 
Duck,Blue flat Hat,Cambridge blue eye&black long eyebrow,Blue Curly,Golden quadrangle  Mouth,Red sector wing
Pigeon,Orange black square Hat,Big black eye&orange eyebrow,Black yellow hair,Black yellow long Mouth,Orange white sector wing
Vulture,Pink triangle Hat,Black whiteeye&round eyebrow,Red yellow crown,Dark blue triangle Mouth,Agree sector wing
Magpie,Dark black round Hat,Big black eye&long eyebrow,Blue punk,Get black triangle Mouth,Red wing
Aurora,Black pink Hat,Light cyan eye&orange eyebrow,Blue Curly,Depp red triangle Mouth,Violet trapeziod wing 
Chick,Violet square glasses,Jet black eye&long eyebrow,Pink long hair,Yellow long Mouth,Red sector wing
Aurora,Orange yellow round Hat,Black eye&pink eyebrow,Blue hairdo,Yellow long Mouth,Colours wing 
Thrush,Red black quadrangle Hat,Black eye&jet black eyebrow,Red yellow crown,Black yellow Mouth,Black rhomboid wing
Hummingbird,Rainbow round Hat,Light cyan eye&orange eyebrow,Blue punk,Dark blue triangle Mouth,Violet front shape wing
Ostrich,Black triangle glasses,Black eye&long black eyebrow,Green braid,Orange triangle small Mouth,Cyan  tooth profine wing
Blue Bird,Black arch Hat,Light cyan  eye&orange long eyebrow,Above color crown,Black orange black Mouth,White gray wing
Magpie,Blue black round glasses,Black eye&pink eyebrow,Black yellow hair,Golden quadrangle  Mouth,Colours wing 
Chick,Orange black white round Hat,Light cyan eye&orange eyebrow,Pink broken,Depp red triangle Mouth,Dark black wing 
Swan,Deep gray  round Hat,Black eye&round black eyebrow,Red Curly,Gray big Mouth,Violet tooth profine wing
Ostrich,Black rectangle glasses,Big black eye&black long eyebrow,Pink broken,Orange square Mouth,Colours wing 
Hummingbird,Rainbow round Hat,Light cyan eye&orange eyebrow,Green braid,Black pink Mouth,Colours sector wing
Hummingbird,Dark blue gray polygon Hat,White eye&black long eyebrow,Yellow Curly,Light orange Mouth,Cyan trapeziod wing 
Penguin,Violet round glasses,Black white eye&long eyebrow,Orange long hair,Light blue short Mouth,Agree rhomboid wing
Aurora,Orange headset,Black eye&long eyebrow,Cyan Curly,Gray Mouth,Red trapeziod wing 
Blue Bird,Blue black triangle glasses,Black eye&yellow eyebrow,Orange middle parting,Blue small Mouth,Colours sector wing
Swallow,Orange black polygon Hat,Light cyan eye&orange eyebrow,Black broken,Golden polygon Mouth,Violet rhomboid wing
Cuckoo,Orange round glasses,Black eye&yellow eyebrow,Red hairdo,Light orange short Mouth,Red wing
Vulture,Green Hat,Cambridge blue eye&pink eyebrow,Pink Curly,Orange triangle small Mouth,Yellow trapeziod wing 
Thrush,Red black triangle glasses,Orange eye& eyCambridge blue eyebrow,Red yellow crown,Shallow black triangle Mouth,Gray rhomboid wing
Bullfinch,Dark blue necklace,Black eye&long eyebrow,Red Curly,Depp red triangle Mouth,Colours wing 
Woodpecker,Orange black  Hat,Small black eye&red long eyebrow,Orange long hair,Orange short Mouth, Dark violet front shape wing
Bullfinch,Orange headset,Black eye&round black eyebrow,Red airplane,Golden triangle Mouth,Black trapeziod wing  
Vulture,Deep purplepentagon glasses,Small black eye&orange round eyebrow,Red airplane,Black yellow Mouth,Dark black wing 
Pigeon,Pink triangle Hat,Black eye&long eyebrow,Yellow Curly,Red triangle small Mouth,Dark blue  wing 
Pigeon,Gray black Hat,Jet black eye&long eyebrow,Blue punk,Black orange long Mouth,Colours front shape wing
Pigeon,Black necklace,Black eye&long pink eyebrow,Red yellow crown,Orange quadrangle Mouth,Yellow rhomboid wing
Duck,Blue triangle Hat,Red eye&black eyebrow,Pink long hair,Deep orange triangle  Mouth,Colours wing 
Woodpecker,Somber triangle glasses,Small black eye&long eyebrow,Light cyan hair,Deep Golden triangle Mouth,Pink wing 
Thrush,Yellow Hat,Blue eye&blue eyebrows,Red hairdo,Gray big Mouth,Red rhomboid wing
Hummingbird,Orange black polygon Hat,Cambridge blue eye&black long eyebrow,Yellow braid,Golden square Mouth,Gray trapeziod wing 
Ostrich,Orange yellow round glasses,Black eye&round black eyebrow,Plae yellow braid,Golden triangle small Mouth,Grey violet sector wing
Chick,Violet square glasses,Blue black eye&long eyebrow,Red punk,Orange triangle big Mouth,Blue rhomboid wing
Cuckoo,Black cyan Hat,Light cyan eye&pink eyebrow,Cyan Curly,Black orange long Mouth,Violet tooth profine wing
Swallow,Light cyan necklace,Cambridge blue eye&black long eyebrow,Blue long hair,Blue black Mouth,Dark cyan wing 
Swallow,Black Hat,Black eye&long pink eyebrow,Red hairdo,Golden quadrangle  Mouth,Agree wing
Penguin,Dark orange necklace,Cambridge blue eye&black long eyebrow,Blue hairdo,Pale red Mouth,Pink wing 
Pigeon,Orange black square Hat,Small black eye&red long eyebrow,Black yellow hair,Golden square Mouth,Orange rhomboid wing
Vulture,Colous pentagon glasses,Red eye&black eyebrow,Cyan Curly,Pale yellow triangle  Mouth,Black rhomboid wing
Vulture,Pink triangle Hat,Black eye&yellow eyebrow,Black short hair,Black orange small Mouth,Violet front shape wing
Pelican,Black pink Hat,Red eye&black eyebrow,Orange short hair,Orange small Mouth,Yellow rhomboid wing
Magpie,Deep blue Hat,Light cyan eye&orange eyebrow,Blue Curly,Orange polygon  Mouth,Dark blue  wing 
Thrush,Black necklace,Black eye&round black eyebrow,Light cyan shorthair,Deep Golden triangle Mouth,Blue front shape wing 
Swan,Blue round glasses,Orange eye& eyCambridge blue eyebrow,Black middle parting,Orange short Mouth,Dark Colours wing
Thrush,Red black quadrangle Hat,black orange eye&long eyebrow,Pink long hair,Depp red triangle Mouth,Violet rhomboid wing
Duck,Pink square glasses,Black eye&round black eyebrow,Black middle parting,Deep Orange square Mouth,Dark red wing 
Magpie,Blue black triangle glasses,Black eye&yellow eyebrow,Black broken,Black red long Mouth,Red front shape wing 
Ostrich,Deep blue trapezoid Hat,Black white eye&long eyebrow,Orange long hair,Black bluw long Mouth,Violet front shape wing
Thrush,Red black quadrangle Hat,Black eye&long pink eyebrow,Pink short hair,Golden triangle Mouth,Yellow tooth profine wing
Crow,Dark blue headset,Blue eye&blue eyebrows,Black short hair,Light orange short Mouth,Violetv wing
Swallow,Deep blue mesh cap,Cyan eye&dark red eyebrow,Plae yellow braid,Golden triangle small Mouth,Grey violet sector wing
Swallow,Pink necklace,Black cyan eye&long eyebrow,Black long hair,Red triangle small Mouth,Blue cyan wing
Aurora,Deep orange black round hat,Black eye&deep orange eyebrow,Red airplane,Golden Mouth,Grey violet sector wing
Vulture,Black orange necklace,Black purple eye&long eyebrow,Black short hair,Pale yellow triangle  Mouth,Dark blue cyan wing
Hummingbird,orange perked cap,Small black eye&orange  eyebrow,Blue hairdo,Black Mouth,Pink  violet sector wing
Blue Bird,Red black quadrangle Hat,Small black eye&red long eyebrow,Blue punk,Orange quadrangle Mouth,Red sector wing
Cuckoo,Blue black pentagon glasses,Black white eye&long eyebrow,Deep red Curly,Light yellow short Mouth,Cyan trapeziod wing 
Woodpecker,Orange square glasses,Cambridge blue eye&black long eyebrow,Black red hair,Orange Mouth,White black rhomboid wing
Duck,Orange round glasses,Blue black eye&long eyebrow,Pink broken,Blue Naroon,Black rhomboid wing
Turkey,Black white square glasses,Small black eye&orange  eyebrow,Cyan Curly,Light yellow short Mouth,Cyan  tooth profine wing
Swan,Blue black triangle glasses,Black eye&round eyebrow,Blue Curly,Black bluw long Mouth,Yellow trapeziod wing 
Turkey,Red black pentagon glasses,Cyan black eye&long eyebrow,Golden airplane,Golden polygon Mouth,Light cyan front shape wing
Chick,Dark blue gray polygon Hat,Big black eye&black long eyebrow,Pink middle parting,Orange small Mouth,Orange triangle  wing
Bullfinch,Orange round glasses,Black eye&long black eyebrow,Blue long hair,Orange triangle Mouth,Red front shape wing 
Blue Bird,Black arch Hat,Cyan eye&dark red eyebrow,Pink Curly,Get black triangle Mouth,Pink wing 
Turkey,Red black pentagon glasses,Big black eye&black long eyebrow,Red Curly,Black yellow long Mouth,Red sector wing
Cuckoo,Orange round glasses,Black eye&yellow eyebrow,Red short hair,Orange triangle Mouth,Khaki front shape wing
Cuckoo,Black brow hat,Black eye&yellow eyebrow,Golden airplane,Orange Mouth,Gray trapeziod wing 
Chick,Somber triangle glasses,Light cyan eye&orange eyebrow,Red airplane,Blue Naroon,Blue rhomboid wing
Hummingbird,Orange black  Hat,Small black eye&orange  eyebrow,Black long hair,Orange square Mouth,Agree wing
Thrush,Black white Hat,Black eye&yellow eyebrow,Cyan punk,Shallow black triangle Mouth,Gray rhomboid wing
Pigeon,Orange black square Hat,Cyan black eye&long eyebrow,Black broken,Depp red triangle Mouth,Light cyan front shape wing
Magpie,Dark orange necklace,Jet black eye&long eyebrow,Red hairdo,Deep Gray triangle Mouth,Colours wing 
Duck,Violet round glasses,Black eye&pink eyebrow,Cyan punk,Black yellow Mouth,Gray trapeziod wing 
Hummingbird,orange perked cap,Black eye&rectangle eyebrow,Deep red Curly,Deep Orange square Mouth,White black rhomboid wing
Duck,White square glasses,Light cyan eye&orange eyebrow,Blue short hair,Blue black Mouth,Khaki front shape wing
Penguin,Black flat Hat,Black eye&yellow eyebrow,Blue punk,Light yellow short Mouth,White black rhomboid wing
Thrush,Black white Hat,Black eye&long eyebrow,Green crown,Light blue short Mouth,Violet tooth profine wing
Seagull,Black Hat,Black eye&long pink eyebrow,Pink short hair,Orange triangle small Mouth,Yellow agree trapeziod wing
Pelican,orange perked cap,Black eye&orange long eyebrow,Black yellow hair,Deep yellow triangle  Mouth,Colours tooth profine wing
Turkey,Deep purplepentagon glasses,Small black eye&orange round eyebrow,Orange short hair,Light blue short Mouth,Orange triangle  wing
Pigeon,Orange yellow Hat,Small black eye&orange round eyebrow,Pink long hair,Pale red Mouth,Dark cyan wing 
Chick,Somber triangle glasses,Black purple eye&long eyebrow,Deep red Curly,Black long Mouth,Violet rhomboid wing
Ostrich,Yellow quadrangle Hat,Black eye&long pink eyebrow,Red airplane,Red short Mouth,Colours wing 
Ostrich,Orange yellow round glasses,Black eye&orange eyebrow,Pink broken,Orange short Mouth,Agree wing
Blue Bird,Orange square glasses,Black white eye&long eyebrow,Red hairdo,Orange quadrangle Mouth,Agree sector wing
